Gender;Age;Game;other;Hours;buy;flirt;hours10;hours6;macro;oppgen;raid4;raid8;agitated;complain;happiness;limittime;socialsuffer;spendtime;worksuffer;tryquit;percents;optimize;template;collecting;customize;exploreworld;findstuff;group1;group2;group3;leadgroup;lookunique;matchcolor;recognition;takecharge;level;acquire;powerful;accumulate;mechanics;selfsufficient;immersed;escaping;help;know;chatting;competing;killing;explore;cguild;sguild;roles;annoy;converse;personal;support;stories;roleplay;avoid;relax;provoke
;;;;;no;yes;;yes;no;no;yes;no;3;1;3;1;1;2;1;no;4;4;4;1;3;3;3;3;1;5;3;3;2;1;3;3;1;4;3;4;3;5;5;4;5;4;4;1;3;4;2;3;1;5;4;5;3;3;3;4;1
female;;EQ2;;;no;yes;yes;yes;no;no;yes;yes;3;1;5;1;1;2;1;no;3;3;2;2;2;2;3;5;4;4;2;3;3;1;2;3;3;3;2;2;3;4;4;4;4;4;1;1;2;4;3;2;1;3;2;1;3;4;4;3;2
male;;EQ;;;no;no;no;yes;no;no;yes;no;3;4;3;4;2;4;1;no;2;;;2;3;5;5;4;2;4;4;4;3;4;4;3;3;4;4;4;4;2;3;4;4;4;4;2;4;5;1;3;2;4;2;2;3;1;2;4;1
male;14;;;;yes;no;yes;yes;no;no;no;no;3;2;2;2;1;2;2;no;4;4;4;2;3;4;5;4;2;5;1;3;1;3;3;3;4;4;4;5;3;4;4;4;4;3;2;1;4;4;3;4;1;3;1;1;2;3;3;3;1
male;15;EQ;;;no;yes;yes;yes;no;yes;yes;yes;3;5;2;2;4;5;2;yes;1;5;3;2;4;5;4;5;2;5;3;5;5;3;4;3;2;5;2;4;5;5;5;3;5;5;5;5;3;4;5;1;2;3;2;4;3;2;5;5;1
male;16;WoW;;;no;no;yes;yes;no;yes;yes;no;3;2;2;5;2;5;4;no;4;3;1;3;3;2;4;3;2;4;3;3;2;4;3;3;4;4;4;2;5;4;5;3;3;3;4;2;3;4;2;4;2;2;1;1;2;2;4;4;2
male;17;WoW;;;no;yes;yes;yes;no;no;yes;no;5;4;2;3;2;1;1;no;4;3;4;3;3;5;3;2;1;4;3;3;3;4;4;3;5;5;4;5;4;5;5;4;4;4;5;5;5;5;5;5;3;4;4;3;3;3;4;4;2
male;17;CoH;;;no;no;yes;yes;no;yes;no;no;2;2;3;3;1;4;2;no;1;3;3;3;3;4;4;4;3;5;1;4;4;2;2;2;1;3;3;4;3;4;2;4;4;4;4;4;3;5;2;3;1;3;2;3;2;2;2;2;1
male;17;WoW;;;no;no;yes;yes;no;yes;yes;no;2;2;3;1;1;3;1;no;2;3;1;3;4;5;5;3;1;2;1;3;2;2;3;1;2;3;3;3;4;5;5;4;3;3;2;3;4;5;2;4;1;3;2;3;4;3;4;4;2
male;18;EQ2;;;yes;yes;yes;yes;no;no;yes;no;2;1;3;2;1;3;2;no;3;3;1;4;4;5;5;2;2;3;2;4;4;3;2;2;3;3;3;5;4;5;2;4;4;4;3;1;5;4;2;3;1;3;3;4;5;4;2;3;1
male;18;WoW;;;no;yes;no;yes;no;no;no;no;2;3;4;2;1;4;3;no;3;4;1;1;3;3;5;3;1;4;5;4;2;3;4;3;4;5;4;4;5;2;2;4;4;4;4;5;3;5;3;3;1;3;4;5;1;1;2;4;2
